hidden_layers,hidden_sizes_mean,max_hidden_size,min_hidden_size,variance_hidden_sizes,accuracy,introspectability,flops
16,100.0,152,25,1538.75,0.9729,0.03735535860582281,208299.0
6,78.33333333333333,155,28,2049.888888888889,0.9731,0.01761775684660986,68804.0
18,90.5,155,14,2429.472222222222,0.9468,0.04032960460576255,147429.0
20,124.95,200,11,2493.8475000000003,0.7962,0.30170668181445864,386989.0
18,113.72222222222223,198,17,2567.4228395061727,0.9302,0.19908478723631964,343000.0
11,125.0909090909091,197,40,3075.9008264462814,0.9773,0.029171744619573777,243054.0
9,132.11111111111111,190,18,2798.9876543209875,0.9793,0.029368946826111318,249994.0
17,101.23529411764706,188,22,2412.6505190311423,0.9674,0.11747407355578617,235611.0
15,96.73333333333333,147,11,1862.728888888889,0.9684,0.0490996638364676,196719.0
7,106.28571428571429,199,17,3794.204081632653,0.9694,0.018865466344222013,189501.0
6,114.0,196,27,4700.333333333333,0.9727,0.04830886777619728,107326.0
4,42.0,92,13,896.5,0.9669,0.03403350447996571,30900.0
17,115.6470588235294,190,11,2799.522491349481,0.9749,0.04695783814208375,261754.0
4,146.75,200,69,3095.1875,0.9793,0.010208334946865863,146508.0
18,111.11111111111111,196,26,2158.987654320988,0.9628,0.05553895276874148,302351.0
10,68.2,133,12,1419.3600000000001,0.9694,0.18091514749814652,138101.0
8,129.5,181,42,1810.5,0.9785,0.04082556169709682,229790.0
19,102.42105263157895,194,12,3431.8227146814406,0.9588,0.03621915651149013,298824.0
9,129.77777777777777,188,30,2428.395061728395,0.9716,0.038217524699737423,159299.0
11,103.27272727272727,192,32,2266.1983471074386,0.974,0.0479203933377802,156862.0
13,109.92307692307692,200,21,4505.301775147929,0.97,0.11477785129488136,203216.0
15,100.6,182,23,2508.6399999999994,0.9681,0.03504820089632024,193895.0
3,143.33333333333334,179,75,2336.222222222222,0.9772,0.02375807790344374,168721.0
16,115.5,196,32,2469.75,0.9649,0.06033540666232713,297442.0
8,132.125,197,33,3123.609375,0.9676,0.03577334511000016,150818.0
17,98.82352941176471,192,18,3385.086505190312,0.9551,0.0763200819988722,287421.0
18,126.44444444444444,197,16,3344.913580246913,0.9686,0.04360498054658011,385709.0
3,161.0,181,126,616.6666666666666,0.9819,0.02262558113887078,193906.0
3,114.0,163,36,3108.6666666666665,0.9759,0.017311539937509224,140238.0
7,98.57142857142857,191,14,2537.387755102041,0.9732,0.2887042034831312,109210.0
3,61.0,84,25,664.6666666666666,0.9723,0.020696517242403286,62806.0
13,101.76923076923077,196,29,3685.869822485207,0.974,0.06627146087169725,243524.0
12,143.83333333333334,199,28,2406.472222222222,0.9756,0.04652440998438073,318743.0
14,139.78571428571428,189,45,1395.0255102040817,0.9743,0.1394400915156843,388613.0
9,140.22222222222223,198,73,2243.7283950617284,0.9777,0.015534999575478044,281320.0
17,99.0,189,16,3442.470588235294,0.9587,0.20973297574867805,297290.0
11,141.54545454545453,200,77,1487.5206611570247,0.9714,0.0766458235142636,273585.0
20,90.55,188,14,3137.147499999999,0.8279,0.15066734546174607,183993.0
17,118.29411764705883,170,21,2126.0899653979245,0.9551,0.04779723244395832,266189.0
13,99.84615384615384,196,24,2860.437869822485,0.9629,0.1422158435174626,143282.0
6,127.5,198,11,3257.5833333333335,0.9762,0.32499923499094113,242471.0
9,128.44444444444446,194,26,4304.691358024692,0.9777,0.11242990117623575,259271.0
4,125.25,185,61,3253.1875,0.9791,0.01763494494953193,190132.0
4,133.0,171,35,3212.5,0.9736,0.023165377824787153,89335.0
5,142.2,187,32,3180.56,0.9743,0.020220384001731873,120340.0
20,111.35,196,33,2239.2275,0.8607,0.13297954997461703,371012.0
3,89.0,116,43,1068.6666666666667,0.9727,0.04422117984957165,52044.0
17,114.70588235294117,200,40,1939.3840830449826,0.9721,0.0531475528026931,329160.0
7,92.71428571428571,194,24,4188.2040816326535,0.9751,0.014610090175200539,84329.0
9,97.22222222222223,168,18,2357.5061728395062,0.9698,0.07148200415338377,134977.0
8,120.5,198,10,4723.0,0.9741,0.00947346704599315,212094.0
7,135.71428571428572,198,23,3507.6326530612246,0.9766,0.008924670082908252,207413.0
15,85.6,182,23,2401.8399999999997,0.9475,0.2003379237320688,208626.0
4,121.25,161,27,3042.1875,0.9705,0.030791256742344963,74436.0
12,96.83333333333333,179,18,2275.972222222222,0.9718,0.08574729149307435,187796.0
14,83.0,199,16,3189.4285714285716,0.9606,0.09720698752207682,125205.0
11,123.0909090909091,191,25,3273.5371900826444,0.9782,0.03500802550990759,279590.0
17,118.76470588235294,199,31,3027.826989619377,0.9269,0.08022246493750976,303983.0
17,102.29411764705883,195,10,3437.0311418685123,0.97,0.042064670725893746,276339.0
6,83.0,149,26,2441.3333333333335,0.9662,0.03250614685497971,48183.0
6,121.5,184,57,2854.9166666666665,0.9771,0.026219385737689057,208707.0
16,102.3125,190,19,2976.33984375,0.9702,0.15530361048262825,221581.0
18,97.94444444444444,187,16,3542.719135802469,0.9633,0.08885435991752376,209727.0
20,107.5,200,29,2177.75,0.9338,0.07707371027208865,375976.0
10,97.2,177,11,3493.7599999999998,0.9747,0.08270807965244684,178299.0
8,102.625,187,36,3545.734375,0.9751,0.05171046020437239,215005.0
14,130.5,193,41,2710.8214285714284,0.9684,0.07862766453504769,304780.0
4,110.0,180,61,2315.5,0.9802,0.022246211756201874,166690.0
15,89.4,176,15,2644.9066666666663,0.9729,0.0736868899845932,249517.0
7,63.857142857142854,152,15,3075.836734693877,0.9646,0.041359537775214346,46223.0
13,101.61538461538461,188,23,2941.4674556213017,0.9717,0.19422614091696838,248590.0
9,117.44444444444444,198,38,2370.4691358024693,0.9795,0.023007650776869722,244951.0
6,97.33333333333333,174,24,3549.222222222222,0.9696,0.06196144084937664,72114.0
10,101.3,186,20,2642.6099999999997,0.9699,0.024700217738023236,142366.0
16,89.3125,200,12,3194.96484375,0.966,0.03611590954525228,152529.0
